grid,velocity,T,density,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_N2,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO
0.0,0.00016878878340038388,300.0,1.11148334296044,0.0526625643447696,0.0,0.0,0.18452161027140543,0.0,0.011140283011435671,5.260737533990799e-14,2.5243123170303467e-09,0.0,0.0,0.0,0.0,7.707606012950893e-16,0.0012923652496782433,0.016012749622051993,0.006785404961322116,0.0,3.867339919109194e-11,0.0,0.0,3.999531744264507e-12,0.0,7.533187157538936e-17,0.0,8.072717563233704e-14,0.0,1.8467397392899634e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.119893731482108e-15,5.813897454067442e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7275850199716094,0.0,0.0,0.0,0.0,0.0
0.002608695652173913,0.0001687874614765318,300.00173819262716,1.1114920479709935,0.05264856252348798,1.5333211706491984e-21,3.2368882620075224e-17,0.18452430137171721,9.339921667515547e-20,0.011140611854809855,5.405551601962568e-14,2.576327896133451e-09,4.97138031008071e-24,1.5492132622885766e-24,9.779459935827276e-23,8.953927615009012e-25,1.1568576961234372e-15,0.001292380961492018,0.016012965476574444,0.006785502673434408,6.320094349757179e-23,3.9726038356452006e-11,1.3888624449060506e-23,5.054494975152984e-20,4.1107382057996174e-12,1.6893763598339513e-24,4.487976181450654e-16,1.2844823647321076e-23,8.323407889064156e-14,4.207436854141316e-20,1.9369985177891403e-14,1.201143231690967e-22,3.1018839856684953e-16,1.0308389253612635e-16,6.66967345078924e-19,1.630160604738235e-20,2.632277246635811e-17,0.0,1.4921463936091795e-24,1.5475538624183573e-17,8.689658062305978e-15,5.975697806495236e-13,4.218162863182517e-17,5.738939890107268e-24,7.537334468416962e-17,7.87721889103619e-17,8.254921689111773e-24,7.214321271758263e-17,7.225037551381384e-17,3.105879403597268e-16,8.958527018363629e-17,0.7275956725175531,1.715866708884504e-17,1.74521589646929e-16,9.469901918002798e-17,1.6283774468498385e-21,1.0539513163883966e-16
0.005217391304347826,0.00016878614380159778,300.00350661548435,1.111500725135278,0.05263448193451799,0.0,0.0,0.1845270066893916,0.0,0.011140944623496685,4.9456266353895815e-14,2.6294148961848584e-09,0.0,0.0,0.0,0.0,2.32844378424809e-15,0.0012923967231947687,0.016013182261183843,0.0067856009845093405,0.0,4.0806139507636444e-11,0.0,0.0,4.224466496122753e-12,0.0,2.8318647567885323e-16,0.0,8.509540651150329e-14,0.0,1.8699298670455435e-14,0.0,1.4424856219441095e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.726223015084844e-15,6.13642582906479e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7276063841084821,0.0,5.8374158793313825e-18,0.0,0.0,0.0
0.007826086956521738,0.00016878483060389174,300.0053057957096,1.1115093729531427,0.05262032213614482,4.25977137101347e-21,9.044484458035636e-17,0.18452972628602138,2.59975346941683e-19,0.011141281378375912,5.800362178481313e-14,2.6835942157322063e-09,1.390208746809798e-23,4.3320396242234084e-24,2.7344488573976686e-22,2.5038723207500603e-24,2.9325303579658964e-15,0.0012924125343370216,0.01601339997531129,0.006785699899248245,1.7671902961792972e-22,4.191727813504394e-11,3.883606356572308e-23,1.413426992413005e-19,4.341733391667389e-12,4.723636793110171e-24,4.788752919847612e-16,3.5915027442463204e-23,8.770844353783867e-14,1.1762929147858843e-19,1.9231080623153082e-14,3.3588279551432236e-22,3.358825465827181e-16,1.1547832044836604e-16,1.8655343501271457e-18,4.458747763258232e-20,7.122631557314188e-17,0.0,4.17220735531489e-24,2.1346715546729437e-18,9.126141689415033e-15,6.305147286763962e-13,1.0557780201554072e-16,1.6046403947683505e-23,8.604180712624453e-17,8.964735359305444e-17,2.3084253861848947e-23,8.267374448745809e-17,8.278478878453426e-17,1.8401384002241073e-16,2.429371650533038e-16,0.7276171550598981,2.5464226091242272e-17,1.9334732424997808e-16,1.0584080917463592e-16,4.552882808739697e-21,1.1796298839234467e-16
0.010434782608695651,0.00016878352211496014,300.0071362691183,1.111517989894458,0.05260608268420833,0.0,0.0,0.18453246022324918,0.0,0.011141622181391149,5.301446193938783e-14,2.7388891692285388e-09,0.0,0.0,0.0,0.0,2.944214241923853e-15,0.0012924283944513342,0.0160136186182675,0.006785799422391415,0.0,4.3056400805892635e-11,0.0,0.0,4.461724219544351e-12,0.0,1.8448904958731044e-16,0.0,8.943904697314481e-14,0.0,1.925050480315563e-14,0.0,4.2143886118025915e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04488138783134e-15,6.473546809702931e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7276279856888126,0.0,0.0,0.0,0.0,0.0
0.015652173913043476,0.0001687809199777896,300.0108927346481,1.111535126442275,0.052577363481430724,0.0,0.0,0.18453797130401856,0.0,0.011142316120988444,3.8177788089418566e-14,2.852904861054154e-09,0.0,0.0,0.0,0.0,1.6537883191874862e-15,0.0012924602601457193,0.01601405868820795,0.006786000308375041,0.0,4.5429496846592465e-11,0.0,0.0,4.712121527710237e-12,0.0,0.0,0.0,9.383903693766839e-14,0.0,2.1234048856230903e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.289937836762268e-15,6.828213954954108e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7276498269329401,0.0,0.0,0.0,0.0,0.0
0.020869565217391303,0.00016877833908261034,300.01477988996277,1.111552123622065,0.05254832118606009,0.0,0.0,0.1845435403624958,0.0,0.011143026890218255,8.934978226533646e-14,2.9715908837504603e-09,0.0,0.0,0.0,0.0,9.557946364799112e-16,0.001292492316791057,0.016014502464536003,0.006786203676586371,0.0,4.7933507664547616e-11,0.0,0.0,4.976816327213978e-12,0.0,1.8445917191884296e-16,0.0,9.923800681970289e-14,0.0,2.37268843711771e-14,0.0,2.2160058771246133e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.942185791450366e-15,7.206116799884374e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7276719100778671,0.0,0.0,0.0,0.0,0.0
0.026086956521739126,0.00016877578142888996,300.0188022920968,1.1115689682521745,0.05251895217579012,5.179227946102505e-22,1.1026065005718023e-17,0.1845491678906309,3.0049816305414746e-20,0.011143755015693292,1.0433543015507819e-13,3.095186194612417e-09,1.5376485102447407e-24,4.7915584111468525e-25,3.0245834383372254e-23,2.7705813123355687e-25,1.1889550383483195e-15,0.001292524560173242,0.01601494993814571,0.006786409566870331,1.9544704226324779e-23,5.0573776089171564e-11,4.295268996258071e-24,1.5658223484215034e-20,5.2561846909855095e-12,5.22613949094993e-25,3.9507244103978507e-16,3.972304076278208e-24,1.0493478287858154e-13,1.3009403222898619e-20,2.568438129565276e-14,3.714291687765845e-23,2.2140930345348891e-16,0.0,2.08248333456134e-19,5.831793006980862e-21,1.2025655272856497e-17,0.0,4.615621014682358e-25,0.0,1.0632612130941958e-14,7.604628998944045e-13,2.2853731120296046e-17,1.7752168554338914e-24,0.0,0.0,2.5522367498819326e-24,0.0,0.0,0.0,4.046491194333957e-17,0.7276942377006725,0.0,3.092502215421712e-17,0.0,5.034878446632156e-22,0.0
0.03130434782608695,0.00016877324909984377,300.02296465706405,1.111585646597487,0.05248925278828266,0.0,0.0,0.1845548543794646,0.0,0.011144501042540124,1.5246494936104732e-13,3.223853729697204e-09,0.0,0.0,0.0,0.0,1.1863193082130065e-15,0.00129255698578982,0.016015401097759223,0.006786618020165608,0.0,5.3356691214405505e-11,0.0,0.0,5.550800170584007e-12,0.0,3.973320497641867e-16,0.0,1.1051177993171255e-13,0.0,2.7537202207487338e-14,0.0,2.1582063592057167e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1139548154684593e-14,8.022635326148995e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7277168124021309,0.0,8.839012734385562e-18,0.0,0.0,0.0
0.041739130434782605,0.00016876826693754422,300.0317239383279,1.1116184614183717,0.05242885176744533,1.2277614286737578e-22,2.436314883163642e-18,0.18456640571022354,6.651758145887837e-21,0.011146048493977453,2.804536703522752e-13,3.497079784062234e-09,3.3460466191545945e-25,1.0430501838113598e-25,6.581827856830522e-24,6.027047402500137e-26,1.4520936555339214e-15,0.0012926223693116047,0.016016314434336914,0.006787042742109693,4.254106794667032e-24,5.937700540393487e-11,9.33875154802207e-25,3.47771744786951e-21,6.189071473873561e-12,1.1375443491678543e-25,4.656071606731721e-16,8.64507453564127e-25,1.2267266175601048e-13,2.8311812366716452e-21,3.1625389355583215e-14,8.083279768367971e-24,2.6668035367224244e-16,0.0,4.5411412736285643e-20,1.3452711295262214e-21,2.848798481520423e-18,0.0,1.0044867734422413e-25,0.0,1.2290673203556247e-14,8.927457087069785e-13,5.920091666077249e-18,3.8627172427232337e-25,0.0,0.0,5.55772151492836e-25,0.0,0.0,0.0,9.557971126817672e-18,0.7277627109186074,0.0,2.2869107245094094e-17,0.0,1.0951126902090433e-22,0.0
